Negative Mode,,,,,,,,,,,,,,,,,,,,,
mzmed,GF1,GF2,GF3,Day5_BTBL_1,Day5_BTBL_2,Day5_BTBL_3,Day5_BTBL_4,Day10_BTBL_1,Day10_BTBL_2,Day10_BTBL_3,Day10_BTBL_4,Day15_BTBL_1,Day15_BTBL_2,Day15_BTBL_3,Day15_BTBL_4,Day20_BTBL_1,Day20_BTBL_2,Day20_BTBL_3,Day25_BTBL_1,Day25_BTBL_2,Day25_BTBL_3
286.0029434,1082087.11,251663.004,342551.2496,1070532.021,874957.2461,822961.2735,942042.3055,1096057.875,2427289.929,1858056.024,1877494.41,2296253.017,1943457.413,2080815.772,1949681.526,1411244.251,1661058.254,1595355.37,1516574.6,2229598.022,1194448.811
148.0491289,23150915.6,7860396.341,61783051.29,3683224.695,4150524.6,3214541.587,5075914.122,1651056.775,2200605.73,1559632.065,1626990.341,1402978.353,1961385.89,2824292.187,2853548.71,1246284.415,1972744.406,1913815.059,455384.0277,998830.1726,1085041.45
130.0389634,755797.09,457403.2651,259521.5542,1458745.49,1204247.466,1108050.295,1431700.083,1468512.866,1757681.252,1775574.254,1952896.421,1543043.503,1405204.745,1543026.956,1511537.138,1589018.785,1631735.612,1429591.94,1247921.274,1475363.474,1270305.688
79.95606783,136897.5863,72122.88056,75609.02227,161785.5702,151515.0721,140802.8609,155257.0674,204443.573,261309.0265,249318.8094,293799.1588,288310.2899,223648.1225,258286.9833,251190.8411,271029.1028,247224.5055,232420.5816,206248.3341,242864.3254,228750.7003
72.00793895,132246.2344,59817.32784,26711.70803,304944.0559,230672.1219,233020.5772,328157.2924,351998.34,428365.5672,443803.4827,485595.1961,350961.3491,292868.8773,348223.7163,339287.1678,370770.6509,366777.2178,311467.3816,287942.0082,364303.7887,254844.5684
198.0386297,1130276.654,578281.971,272719.3727,254023.7188,220273.2478,249105.2599,340275.5036,187059.563,231666.6216,262934.4683,277315.3941,307694.7244,274758.6784,307487.6059,313657.272,267620.2333,322398.3705,279163.9673,171994.8993,215009.2789,210586.2238
265.1182137,770353.4728,468990.0566,407787.5158,564241.3206,630514.439,503927.3637,639007.5524,823737.544,1060638.506,825020.3294,1117154.646,772834.8711,780230.7161,849388.4369,870693.2244,885419.145,832779.0383,641279.6353,606687.1208,838701.4102,796489.2997
129.0289605,15276367.17,6907758.881,3231108.201,31562882.81,24432548.59,24057380.09,33258273.39,33784924.03,40862742.66,40216545.8,46881580.08,33479236.07,29564583.79,35041662.5,33895659.68,36567671.69,36615429.46,30256686.45,27884883.28,34444325.51,26631359.61
310.0963884,202196.4776,146132.6789,121119.5694,123496.8926,157321.3057,105136.4577,214515.2803,164768.4567,237473.465,197314.4703,196502.8776,167711.8394,213052.4367,275060.3037,254412.1877,119014.1718,170849.3492,156679.7958,90693.97395,178460.1663,165835.6585
202.0713342,1598483.313,1539054.465,830721.8958,1642285.466,1673469.367,1553106.267,1972244.585,1642241.626,2498777.712,2347116.321,2532116.546,2719622.042,2471654.98,2778390.09,2658294.955,2799859.615,2640899.474,2273474.491,1561919.448,1716420.233,2216469.473
111.018454,4272030.815,2536694.868,1047793.434,3701107.344,2727218.572,2911703.102,3821438.594,3528828.388,4241685.764,3795191.428,5783427.037,4690071.826,3528079.576,4122816.887,4027524.725,5482086.759,5020779.569,4275341.893,2567245.253,2962102.204,4738443.884
220.984073,756101,142272.1302,130275.6628,510053.9625,433693.845,416421.3682,465475.1783,417449.6893,507802.722,248786.3434,340411.5371,301735.842,451645.2967,552681.3004,536110.6286,279379.9756,400112.996,250066.6672,157786.9043,185958.0437,217730.0461
150.0350773,926947.3466,297038.1228,2591994.598,186887.0309,298689.1645,181397.1377,333498.2204,84952.70748,103276.4607,75729.47968,56583.16195,42527.19457,75200.77707,123558.1932,123474.3333,35048.36407,89293.94299,58876.16999,13984.65211,38521.68295,41568.41583
238.0452933,1870038.053,2193463.624,733472.1562,142254.4781,79441.36034,114912.6379,121280.12,323885.9353,333229.0986,258358.3472,424478.0999,192133.963,273782.0456,260195.0797,270775.3865,296688.1179,287036.1751,257067.4258,235971.3642,247623.4864,392495.0437
317.0554588,256020.3584,111919.2994,54245.25221,279128.7434,243906.3801,300466.3243,393469.9865,136276.2701,173004.8064,154746.7766,156048.182,132111.8511,176161.539,242559.1892,244218.2474,156173.1046,220952.6318,187029.2086,72638.01372,121545.6473,124773.2426
149.0317301,4251175.522,1034418.404,3337052.64,4122190.18,6125265.252,3897548.399,7213489.215,1803937.72,1941571.578,1033605.95,780743.1425,570149.2129,1347689.527,2742726.828,2684266.628,698084.3418,1546420.261,1181210.03,268730.7942,684473.9498,692592.031
158.9774385,5431240.048,6549059.758,5722426.456,9360689.849,8354025.583,8892743.919,8084522.081,11376067.15,11325340.05,13254975.01,14507780.51,12326552.9,12022643.14,10856889.75,10560444.82,12464220.61,11513243.11,11096743.83,11554613.17,13656560.06,13224776.93
159.9783462,634640.2411,685199.7438,654126.284,1062699.173,939214.7371,1043868.795,918848.4875,1325917.53,1261058.277,1556648.517,1693052.381,1417720.917,1410084.969,1214442.581,1236213.56,1434247.69,1343775.476,1294804.342,1357566.381,1625579.935,1585374.649
182.0789821,327721.0744,158515.3736,75399.33657,83574.30233,90613.00397,76537.68027,93592.53507,99044.05619,139230.1072,112554.28,122841.4239,113697.4008,106642.4396,142482.4956,131388.1653,126105.994,129008.9223,118446.9384,83186.03697,93388.1511,110778.5469
110.0635877,383140.5075,251730.0643,85381.30866,159225.4485,154650.9736,149907.2466,209859.8664,198826.2614,318810.8216,441684.7479,327623.0697,513625.0824,445743.0147,400225.4855,392597.3579,301507.7375,358895.5753,340993.524,333631.2066,306300.385,275314.6863
241.1304147,368148.8789,234103.8571,135312.0688,290042.3699,341336.328,269297.2401,357337.8509,380083.5761,486282.3223,480880.8565,528195.625,434061.606,447574.637,514592.2418,478040.461,470094.1342,444803.8473,376757.0267,347278.8786,422447.9548,398279.9961
93.0338421,402825.7127,207257.6964,126163.3521,330629.8351,344165.2601,272542.2381,422323.6282,220816.5152,354922.0109,261854.2837,308644.5468,275800.4893,273168.3235,337875.5868,331158.072,281855.167,317183.6817,287758.7013,184775.5651,224931.4418,230072.6966
200.1008551,328247.6363,319304.9488,166220.6609,344246.3015,278905.771,297772.161,340212.8127,423266.4423,566051.8051,574083.5304,706546.2184,674470.7966,494084.1763,579594.4424,565037.8021,734263.7748,702300.9357,592417.9257,549333.169,422991.5231,584469.483
318.0911768,111932.8207,76618.06863,44101.87993,41857.49637,39970.60493,50939.11575,56400.54148,45213.51844,61965.3795,92193.56202,80758.8616,92709.65219,62163.62762,90406.49365,86744.96779,97316.02575,90405.43597,71004.07174,57970.02101,56944.18952,97868.70303
134.0458669,377336.4646,358395.4887,164488.418,146598.811,146207.0583,137057.3721,164721.9801,154286.487,211566.8476,219320.6861,246004.8632,242068.328,194640.428,219086.1073,202867.1533,248102.0487,248160.4495,241069.8289,210044.1406,183860.5614,222189.537
193.9843018,240942.182,78622.86409,148978.482,466897.4082,359470.6198,375626.0694,405846.2106,769748.7656,925140.2003,927582.5593,1188098.821,1194741.218,874379.3925,950090.443,876756.833,976294.4389,897421.2309,721377.7924,773620.6043,872139.8151,772647.3068
137.0335468,1910543.263,1583023.757,942653.1343,1398551.344,1452457.834,1262355.595,1704214.435,1125702.716,1619146.073,1345094.882,1799844.207,1614245.95,1483837.79,1863318.069,1779702.052,2141283.423,2102376.695,1690208.29,1262846.825,1363680.647,1771575.036
192.9803938,6188125.191,2342403.494,4072560.408,11697075.46,9149422.677,9439262.683,10161979.59,16684077.7,20326141.37,21059192.09,25871223.36,25303821.12,19247419.5,21072462.32,20769610.67,22182080.43,20151057.9,17119748.22,16668940.33,18667527.8,17323731.6
264.0256919,34543.65089,24314.89836,82463.89594,34508.23585,25514.34172,24211.60024,24092.3815,56983.44065,90488.45161,82433.78233,111753.4146,150987.3649,79550.38537,81057.46572,84809.64684,149300.1413,108931.3264,72849.72589,106296.4809,92898.9258,99423.50191
263.0212313,435384.0352,215109.2639,517654.4087,449653.8427,388615.0208,398880.769,415221.234,820264.5563,1179483.286,1115367.72,1558349.897,1918239.915,1143424.246,1108630.914,1085528.601,1776077.378,1323503.965,1026572.914,1350867.687,1093694.494,1275305.444
